CUST_ID,ARTICLE_ID,RATING
AB4SWSQGKADYJ,#5133,1.0
AB4SWSQGKADYJ,#5280,0.0
AB4SWSQGKADYJ,#5722,0.0
AB4SWSQGKADYJ,#5499,1.0
AB4SWSQGKADYJ,#5195,1.0
AB4SWSQGKADYJ,#5448,0.0
AB4SWSQGKADYJ,#5783,0.0
AVEUV5HGMBAQA,#5709,1.0
AVEUV5HGMBAQA,#5003,1.0
AVEUV5HGMBAQA,#5780,0.0
A114PW6DJ5SEMR,#4455,1.0
AVEUV5HGMBAQA,#4063,1.0
AVEUV5HGMBAQA,#4611,1.0
A114PW6DJ5SEMR,#5042,1.0
AVEUV5HGMBAQA,#5434,1.0
A114PW6DJ5SEMR,#4879,1.0
AVEUV5HGMBAQA,#4589,1.0
A114PW6DJ5SEMR,#5489,1.0
AVEUV5HGMBAQA,#4690,0.0
A114PW6DJ5SEMR,#4287,1.0
A114PW6DJ5SEMR,#5334,1.0
AVEUV5HGMBAQA,#4495,1.0
A114PW6DJ5SEMR,#4535,0.0
AVEUV5HGMBAQA,#4593,0.0
A114PW6DJ5SEMR,#5133,1.0
A114PW6DJ5SEMR,#5352,1.0
AVEUV5HGMBAQA,#5197,1.0
A114PW6DJ5SEMR,#5581,1.0
AVEUV5HGMBAQA,#5456,1.0
AVEUV5HGMBAQA,#4323,1.0
AVEUV5HGMBAQA,#5323,1.0
AVEUV5HGMBAQA,#4084,1.0
AVEUV5HGMBAQA,#5854,1.0
AVEUV5HGMBAQA,#5536,1.0
AVEUV5HGMBAQA,#5945,1.0
AVEUV5HGMBAQA,#5393,0.0
AVEUV5HGMBAQA,#4634,1.0
AVEUV5HGMBAQA,#5803,0.0
AVEUV5HGMBAQA,#4745,1.0
AVEUV5HGMBAQA,#4886,1.0
AVEUV5HGMBAQA,#5948,1.0
AVEUV5HGMBAQA,#4228,1.0
AVEUV5HGMBAQA,#4618,0.0
AVEUV5HGMBAQA,#5493,1.0
AVEUV5HGMBAQA,#5153,0.0
AVEUV5HGMBAQA,#5597,1.0
AVEUV5HGMBAQA,#5067,0.0
AVEUV5HGMBAQA,#4198,1.0
AVEUV5HGMBAQA,#4069,1.0
AVEUV5HGMBAQA,#4539,0.0
AVEUV5HGMBAQA,#4867,1.0
AVEUV5HGMBAQA,#5401,1.0
AVEUV5HGMBAQA,#5852,1.0
AVEUV5HGMBAQA,#5377,0.0
AVEUV5HGMBAQA,#5894,1.0
AVEUV5HGMBAQA,#5024,0.0
AVEUV5HGMBAQA,#5498,1.0
AVEUV5HGMBAQA,#4550,1.0
AVEUV5HGMBAQA,#5398,0.0
AVEUV5HGMBAQA,#5022,1.0
AVEUV5HGMBAQA,#4742,1.0
AVEUV5HGMBAQA,#5905,0.0
AVEUV5HGMBAQA,#5804,1.0
AVEUV5HGMBAQA,#5634,1.0
AVEUV5HGMBAQA,#5756,1.0
AVEUV5HGMBAQA,#5124,1.0
AVEUV5HGMBAQA,#5844,1.0
A3KT02CXO9T6Z8,#5874,1.0
A3KT02CXO9T6Z8,#4146,1.0
A3KT02CXO9T6Z8,#4932,0.0
A3KT02CXO9T6Z8,#5285,1.0
A3KT02CXO9T6Z8,#5255,1.0
A3KT02CXO9T6Z8,#4630,1.0
A3KT02CXO9T6Z8,#4715,0.0
A3KT02CXO9T6Z8,#4885,1.0
A3KT02CXO9T6Z8,#4993,1.0
A3KT02CXO9T6Z8,#4795,1.0
A3KT02CXO9T6Z8,#5953,0.0
A3KT02CXO9T6Z8,#5931,1.0
A3KT02CXO9T6Z8,#4256,1.0
A3KT02CXO9T6Z8,#5396,0.0
A3KT02CXO9T6Z8,#4801,1.0
A3KT02CXO9T6Z8,#4198,0.0
A3KT02CXO9T6Z8,#5557,1.0
A3KT02CXO9T6Z8,#4073,1.0
A3KT02CXO9T6Z8,#5727,1.0
A3KT02CXO9T6Z8,#5757,0.0
A3KT02CXO9T6Z8,#4694,1.0
A3KT02CXO9T6Z8,#4443,1.0
A3KT02CXO9T6Z8,#5182,0.0
A3KT02CXO9T6Z8,#5692,1.0
A3KT02CXO9T6Z8,#4108,1.0
A3KT02CXO9T6Z8,#5359,1.0
A3KT02CXO9T6Z8,#5168,0.0
A3KT02CXO9T6Z8,#4903,1.0
A3KT02CXO9T6Z8,#5706,0.0
A3KT02CXO9T6Z8,#5352,1.0
A3KT02CXO9T6Z8,#5268,1.0
A3KT02CXO9T6Z8,#5012,1.0
A3KT02CXO9T6Z8,#5657,1.0
A3KT02CXO9T6Z8,#4075,0.0
A3KT02CXO9T6Z8,#5090,1.0
AX9LH5UKXP452,#5489,1.0
AX9LH5UKXP452,#4364,0.0
AX9LH5UKXP452,#4031,0.0
AX9LH5UKXP452,#5788,0.0
A2MP227F412SIR,#4534,0.0
AX9LH5UKXP452,#4848,0.0
A2MP227F412SIR,#4112,1.0
AX9LH5UKXP452,#5749,1.0
A2MP227F412SIR,#4407,1.0
AX9LH5UKXP452,#5334,1.0
A2MP227F412SIR,#4033,0.0
A2MP227F412SIR,#5705,1.0
AX9LH5UKXP452,#4589,1.0
A2MP227F412SIR,#5558,0.0
A2MP227F412SIR,#5879,0.0
AX9LH5UKXP452,#5899,1.0
A2MP227F412SIR,#4838,0.0
A2MP227F412SIR,#4393,1.0
A2MP227F412SIR,#4334,1.0
AX9LH5UKXP452,#4529,1.0
A2MP227F412SIR,#5361,0.0
A2MP227F412SIR,#5014,0.0
AX9LH5UKXP452,#5122,0.0
A2MP227F412SIR,#4454,0.0
AX9LH5UKXP452,#4620,1.0
A2MP227F412SIR,#4520,1.0
A2MP227F412SIR,#5257,0.0
A2MP227F412SIR,#4366,0.0
AX9LH5UKXP452,#4542,1.0
A2MP227F412SIR,#5566,0.0
A2MP227F412SIR,#5275,1.0
A2MP227F412SIR,#4079,0.0
AX9LH5UKXP452,#4431,1.0
A2MP227F412SIR,#5856,1.0
AX9LH5UKXP452,#5989,0.0
A2MP227F412SIR,#5982,1.0
A2MP227F412SIR,#5533,1.0
AX9LH5UKXP452,#4481,1.0
A2MP227F412SIR,#5503,0.0
AX9LH5UKXP452,#4074,0.0
A2MP227F412SIR,#5953,0.0
AX9LH5UKXP452,#5961,0.0
AX9LH5UKXP452,#4295,1.0
A2MP227F412SIR,#5232,0.0
A2MP227F412SIR,#4023,0.0
AX9LH5UKXP452,#4394,0.0
A2MP227F412SIR,#4279,1.0
A2MP227F412SIR,#4538,1.0
AX9LH5UKXP452,#5646,0.0
A2MP227F412SIR,#5858,0.0
AX9LH5UKXP452,#5887,0.0
A2MP227F412SIR,#4678,0.0
AX9LH5UKXP452,#4520,1.0
A2MP227F412SIR,#4944,0.0
AX9LH5UKXP452,#5124,1.0
A2MP227F412SIR,#5381,1.0
A2MP227F412SIR,#5731,1.0
AX9LH5UKXP452,#4915,0.0
A2MP227F412SIR,#5091,1.0
A2MP227F412SIR,#4745,0.0
AX9LH5UKXP452,#4140,0.0
AX9LH5UKXP452,#5299,0.0
A2MP227F412SIR,#5372,0.0
A2MP227F412SIR,#5870,1.0
AX9LH5UKXP452,#5254,0.0
A2MP227F412SIR,#4878,1.0
AX9LH5UKXP452,#4565,1.0
